Date,Team1,Team2,Score1,Score2
"1950-06-25 12:00:00.000000",England,Chile,2,0
"1950-06-29 12:00:00.000000","United States",England,1,0
"1950-07-02 12:00:00.000000",Spain,England,1,0
"1954-06-17 12:00:00.000000",England,Belgium,3,3
"1954-06-20 12:00:00.000000",England,Switzerland,2,0
"1954-06-26 12:00:00.000000",Uruguay,England,4,2
"1958-06-08 12:00:00.000000","Soviet Union (-1991)",England,2,2
"1958-06-11 12:00:00.000000",Brazil,England,0,0
"1958-06-15 12:00:00.000000",England,Austria,2,2
"1958-06-17 12:00:00.000000","Soviet Union (-1991)",England,1,0
"1962-05-31 12:00:00.000000",Hungary,England,2,1
"1962-06-02 12:00:00.000000",England,Argentina,3,1
"1962-06-07 12:00:00.000000",England,Bulgaria,0,0
"1962-06-10 12:00:00.000000",Brazil,England,3,1
"1966-07-11 12:00:00.000000",England,Uruguay,0,0
"1966-07-16 12:00:00.000000",England,Mexico,2,0
"1966-07-20 12:00:00.000000",England,France,2,0
"1966-07-23 12:00:00.000000",England,Argentina,1,0
"1966-07-26 12:00:00.000000",England,Portugal,2,1
"1966-07-30 12:00:00.000000",England,"West Germany (-1989)",2,2
"1970-06-02 12:00:00.000000",Romania,England,0,1
"1970-06-07 12:00:00.000000",England,Brazil,0,1
"1970-06-11 12:00:00.000000",England,"Czechoslovakia (-1992)",1,0
"1970-06-14 12:00:00.000000","West Germany (-1989)",England,2,2
"1982-06-16 12:00:00.000000",England,France,3,1
"1982-06-20 12:00:00.000000",England,"Czechoslovakia (-1992)",2,0
"1982-06-25 12:00:00.000000",England,Kuwait,1,0
"1982-06-29 12:00:00.000000","West Germany (-1989)",England,0,0
"1982-07-05 12:00:00.000000",Spain,England,0,0
"1986-06-03 12:00:00.000000",Portugal,England,1,0
"1986-06-06 12:00:00.000000",England,Morocco,0,0
"1986-06-11 12:00:00.000000",England,Poland,3,0
"1986-06-18 12:00:00.000000",England,Paraguay,3,0
"1986-06-22 12:00:00.000000",Argentina,England,2,1
"1990-06-11 12:00:00.000000",England,Ireland,1,1
"1990-06-16 12:00:00.000000",England,Netherlands,0,0
"1990-06-21 12:00:00.000000",England,Egypt,1,0
"1990-06-26 12:00:00.000000",England,Belgium,0,0
"1990-07-01 12:00:00.000000",England,Cameroon,2,2
"1990-07-04 12:00:00.000000","West Germany (-1989)",England,,
"1990-07-07 12:00:00.000000",Italy,England,2,1
"1998-06-15 12:00:00.000000",England,Tunisia,2,0
"1998-06-22 12:00:00.000000",Romania,England,2,1
"1998-06-26 12:00:00.000000",Colombia,England,0,2
"1998-06-30 12:00:00.000000",Argentina,England,2,2
"2002-06-02 12:00:00.000000",England,Sweden,1,1
"2002-06-07 12:00:00.000000",Argentina,England,0,1
"2002-06-12 12:00:00.000000",Nigeria,England,0,0
"2002-06-15 12:00:00.000000",Denmark,England,0,3
"2002-06-21 12:00:00.000000",England,Brazil,1,2
"2006-06-10 12:00:00.000000",England,Paraguay,1,0
"2006-06-15 12:00:00.000000",England,"Trinidad and Tobago",2,0
"2006-06-20 12:00:00.000000",Sweden,England,2,2
"2006-06-25 12:00:00.000000",England,Ecuador,1,0
"2006-07-01 12:00:00.000000",England,Portugal,,
"2010-06-12 20:30:00.000000",England,"United States",1,1
"2010-06-18 20:30:00.000000",England,Algeria,0,0
"2010-06-23 16:00:00.000000",Slovenia,England,0,1
"2010-06-27 16:00:00.000000",Germany,England,4,1